feature_value,reference_image_link,reference_illustration_path,reference_description,feature
3 Regular Parts,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/regular_flowers.png,What is the flower type or structure?,key_flower_type
4 Regular Parts,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/regular_flowers.png,What is the flower type or structure?,key_flower_type
5 Regular Parts,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/regular_flowers.png,What is the flower type or structure?,key_flower_type
6 Regular Parts,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/regular_flowers.png,What is the flower type or structure?,key_flower_type
7 or More Regular Parts,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/regular_flowers.png,What is the flower type or structure?,key_flower_type
Asters (Aster),,,What is the flower type or structure?,key_flower_type
Goldenrods (Solidago),,,What is the flower type or structure?,key_flower_type
Irregular Flowers,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/irregular_flowers.png,What is the flower type or structure?,key_flower_type
Parts Indistinguishable,,,What is the flower type or structure?,key_flower_type
Leaves Divided,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_divided.png,What is the leaf form?,key_leaf_type
Leaves Entire,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_entire.png,What is the leaf form?,key_leaf_type
Leaves Toothed or Lobed,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_toothed.png,What is the leaf form?,key_leaf_type
No Apparent Leaves,,,What is the leaf form?,key_leaf_type
Shrubs,,,What is the growth form and leaf arrangement?,key_plant_type
Vines,,,What is the growth form and leaf arrangement?,key_plant_type
Wildflowers - Alternate Leaves,,/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/alternate_leaves.png,What is the growth form and leaf arrangement?,key_plant_type
