pile_slug,key_scope,order_k,character_short_name,friendly_name,character_group,question,hint,image_url,unit,value_type
woody-angiosperms,full,-3,habitat_general,Habitat,place,What kind of habitat is your plant found in?,,,,TEXT
woody-angiosperms,simple,-2,habitat_general,Habitat,place,What kind of habitat is your plant found in?,,,,TEXT
woody-angiosperms,full,-2,habitat,Specific habitat,place,What specific kind of habitat is your plant found in?,,,,TEXT
woody-angiosperms,full,-1,state_distribution,New England state,place,In which New England state did you find the plant?,,,,TEXT
woody-angiosperms,simple,-1,state_distribution,New England state,place,In which New England state did you find the plant?,,,,TEXT
woody-angiosperms,full,1,plant_habit_wa,Growth form,growth form,What is the growth form of the stem?,"A shrub is a self-supporting woody plant with multiple stems growing from the base. Lianas have woody stems but use other plants or objects for support, like a vine.",,,TEXT
woody-angiosperms,simple,1,plant_habit_wa,Growth form,growth form,What is the growth form of the stem?,"A shrub is a self-supporting woody plant with multiple stems growing from the base. Lianas have woody stems but use other plants or objects for support, like a vine.",,,TEXT
woody-angiosperms,full,2,leaf_type_general_wa,Leaf type,leaves,Is the leaf blade divided into smaller leaflets?,"A leaf is simple if the blade is a single unit of leaf membrane, and compound if it is made up of two or more discrete leaflets.",,,TEXT
woody-angiosperms,simple,2,leaf_type_general_wa,Leaf type,leaves,Is the leaf blade divided into smaller leaflets?,"A leaf is simple if the blade is a single unit of leaf membrane, and compound if it is made up of two or more discrete leaflets.",,,TEXT
woody-angiosperms,simple,3,leaf_arrangement_wa,Leaves per node,leaves,How many leaves are produced from each node of the stem or branches?,Examine several nodes on fully expanded twigs.,,,TEXT
woody-angiosperms,full,3,leaf_arrangement_wa,Leaves per node,leaves,How many leaves are produced from each node of the stem or branches?,Examine several nodes on fully expanded twigs.,,,TEXT
woody-angiosperms,full,4,leaf_blade_margin_general_wa,Leaf blade edges,leaves,What do the edges of the leaf blade look like?,"Some leaves have wavy edges, but don't confuse those with lobes, which are horizontal, rounded outgrowths of the leaf.",,,TEXT
woody-angiosperms,simple,4,leaf_blade_margin_general_wa,Leaf blade edges,leaves,What do the edges of the leaf blade look like?,"Some leaves have wavy edges, but don't confuse those with lobes, which are horizontal, rounded outgrowths of the leaf.",,,TEXT
woody-angiosperms,full,5,leaf_duration_wa,Leaf duration,leaves,How long do the leaves stay green?,"Conifers, some hollies, rhododendrons and some others keep their leaves all year long, but most broad-leaved trees in New England are deciduous.",,,TEXT
woody-angiosperms,simple,5,leaf_duration_wa,Leaf duration,leaves,How long do the leaves stay green?,"Conifers, some hollies, rhododendrons and some others keep their leaves all year long, but most broad-leaved trees in New England are deciduous.",,,TEXT
woody-angiosperms,simple,6,armature_wa,armature on plant,"stem, shoot, branch","Is the plant armed with spines, prickles, or thorns?","Spines, prickles, or thorns are usually produced on the main stem or branches, but sometimes also on the leaf margin or midrib.",,,TEXT
woody-angiosperms,full,6,armature_wa,armature on plant,"stem, shoot, branch","Is the plant armed with spines, prickles, or thorns?","Spines, prickles, or thorns are usually produced on the main stem or branches, but sometimes also on the leaf margin or midrib.",,,TEXT
woody-angiosperms,full,7,leaf_blade_length_wa,Leaf blade length,leaves,"How long is the leaf blade (not counting the leaf stalk or petiole, if any)?","Measure only fully-formed leaves, not immature leaves or bracts.",https://newfs.s3.amazonaws.com/character-value-images/leaf-blade-measures-length.gif,mm,LENGTH
woody-angiosperms,full,8,leaf_blade_width_wa,Leaf blade width,leaves,What is the width of the mature leaf?,Measure across the leaf at its widest point.,https://newfs.s3.amazonaws.com/character-value-images/leaf-blade-measures-width.gif,mm,LENGTH
woody-angiosperms,full,9,petiole_wa,Leaf stalk,leaves,Do the leaves have leaf stalks?,"Sometimes petioles can be winged with narrow bands of leafy tissue, but the wings are usually much narrower than the blade.",,,TEXT
woody-angiosperms,full,10,fruit_type_general_wa,Fruit type (general),fruits or seeds,"Is the fruit fleshy or hard? Does it split open when ripe, or stay closed?",It's best to look at mature fruits. You may have to dissect one or more to tell whether it is fleshy or a capsule.,,,TEXT
woody-angiosperms,full,11,outer_bark_main_stem_wa,Bark texture,"stem, shoot, branch",What is the texture of the bark?,Try to find a full-grown tree. The bark of young woody plants may differ.,,,TEXT
woody-angiosperms,full,12,winter_branchlet_color_wa,Twig winter color,"stem, shoot, branch",What color are the twigs in winter?,"Twigs are the most recent growth of a woody plant. You must be able to observe the plant in winter to answer this question. There may be some color variation, so examine several twigs.",,,TEXT
woody-angiosperms,full,13,winter_bud_scale_number_wa,Bud scale number,buds or leaf scars,"How many scales are covering the winter buds, and how would you describe the scales?","Check several buds, and count the scales by peeling them away if necessary.",,,TEXT
