feature_value,reference_image_link,reference_illustration_path,reference_description,feature
3 Regular Parts,https://www.inaturalist.org/photos/57834500,/Users/John/Newcomb/illustrations/regular_flowers.png,"Regular flowers are radially symmetrical, which means that their petals or petal-like parts (or rays in flowers like the Daisy) are arranged around the center like the spokes of a wheel. Each petal or petal-like part is similar in size, shape, and color to all the others. If the petals or parts are united, as in bell-shaped flowers like the Lily-of-the-valley, then the lobes of the flower are likewise similar in size, shape and color.",key_flower_type
4 Regular Parts,https://www.inaturalist.org/photos/310472154,/Users/John/Newcomb/illustrations/regular_flowers.png,"Regular flowers are radially symmetrical, which means that their petals or petal-like parts (or rays in flowers like the Daisy) are arranged around the center like the spokes of a wheel. Each petal or petal-like part is similar in size, shape, and color to all the others. If the petals or parts are united, as in bell-shaped flowers like the Lily-of-the-valley, then the lobes of the flower are likewise similar in size, shape and color.",key_flower_type
5 Regular Parts,https://www.inaturalist.org/photos/424459597,/Users/John/Newcomb/illustrations/regular_flowers.png,"Regular flowers are radially symmetrical, which means that their petals or petal-like parts (or rays in flowers like the Daisy) are arranged around the center like the spokes of a wheel. Each petal or petal-like part is similar in size, shape, and color to all the others. If the petals or parts are united, as in bell-shaped flowers like the Lily-of-the-valley, then the lobes of the flower are likewise similar in size, shape and color.",key_flower_type
6 Regular Parts,https://www.inaturalist.org/photos/80342041,/Users/John/Newcomb/illustrations/regular_flowers.png,"Regular flowers are radially symmetrical, which means that their petals or petal-like parts (or rays in flowers like the Daisy) are arranged around the center like the spokes of a wheel. Each petal or petal-like part is similar in size, shape, and color to all the others. If the petals or parts are united, as in bell-shaped flowers like the Lily-of-the-valley, then the lobes of the flower are likewise similar in size, shape and color.",key_flower_type
7 or More Regular Parts,https://www.inaturalist.org/photos/222876592,/Users/John/Newcomb/illustrations/regular_flowers.png,"Regular flowers are radially symmetrical, which means that their petals or petal-like parts (or rays in flowers like the Daisy) are arranged around the center like the spokes of a wheel. Each petal or petal-like part is similar in size, shape, and color to all the others. If the petals or parts are united, as in bell-shaped flowers like the Lily-of-the-valley, then the lobes of the flower are likewise similar in size, shape and color.",key_flower_type
Parts Indistinguishable,https://www.inaturalist.org/photos/52243420,,Indistinguishable flowers either have no visible petal-like parts or the parts are so small that it is difficult to make out their number of arrangement. A flower may be very small and still have parts that are quite discernible.,key_flower_type
Irregular Flowers,https://www.inaturalist.org/photos/196377999,/Users/John/Newcomb/illustrations/irregular_flowers.png,"Irregular flowers are not radially symmetrical; that is, their petals or petal-like parts are not similar in size, shape or color. Usually, these flowers have upper and lower parts that are called lips.",key_flower_type
Wildflowers - Alternate Leaves,https://www.inaturalist.org/photos/307163812,/Users/John/Newcomb/illustrations/alternate_leaves.png,"Wildflowers with stem leaves that are arranged singly on the stem, first at one point and then at another, they are alternate. If there is only one stem leaf, it is considered alternate.",key_plant_type
Wildflowers - No Apparent Leaves,https://www.inaturalist.org/photos/50286623,,,key_plant_type
Wildflowers - Opposite or Whorled Leaves,https://www.inaturalist.org/photos/421678053,/Users/John/Newcomb/illustrations/opposite_leaves.png,"Wildflowers with stem leaves growing directly across from each other that are either in pairs or in circles of threes, fours, fives or more are opposite or whorled. If there is only one stem leaf, it is considered alternate.",key_plant_type
Wildflowers - Basal Leaves Only,https://www.inaturalist.org/photos/396753070,/Users/John/Newcomb/illustrations/basal_leaves.png,Leaves growing from the base of the plant are basal leaves.,key_plant_type
Vines,https://www.inaturalist.org/photos/116667850,,"A vine is a plant with long trailing, twining or climbing stems generally over two feet long.",key_plant_type
Shrubs,https://www.inaturalist.org/photos/392514942,,"A shrub is a plant with woody stem permanently above the ground, but at maturity it is usually under ten feet high.",key_plant_type
Leaves Entire,https://www.inaturalist.org/photos/139502186,/Users/John/Newcomb/illustrations/leaves_entire.png,"If the margin of a leaf is even and unbroken, the leaf is said to be entire.",key_leaf_type
No Apparent Leaves,https://www.inaturalist.org/photos/50286623,,,key_leaf_type
