pile_slug,character_short_name,friendly_name,character_group,question,hint,image_url,unit,value_type
woody-angiosperms,abaxial_leaf_blade_indument_wa,Hairs on underside of leaf blade,leaves,Is the underside of the leaf hairy?,The underside of the leaf faces toward the ground if the leaf is horizontal. The hairs may be easiest to see with a hand lens.,,,TEXT
woody-angiosperms,accesory_tissue_as_part_of_the_disperal_unit_wa,Fruit tissue origin,fruits or seeds,"Is part of the fruit made from tissue not derived from an ovary (for example, the fleshy receptacle of a strawberry or the fleshy hypanthium of a rose hip)?","This question requires fruit anatomical knowledge. The hypanthium is formed from the fused basal portion of the sepals, petals, and stamens. The receptacle is the expanded area at the top of the pedicel or peduncle to which the flower parts are attached.",,,TEXT
woody-angiosperms,adaxial_leaf_blade_indument_wa,Hairs on upper side of leaf blade,leaves,Is the upper side of the leaf hairy?,The upper side of the leaf faces the sky if the leaf is horizontal. The hairs may be easiest to see with a hand lens.,,,TEXT
woody-angiosperms,aerial_roots_wa,Aerial roots,"stem, shoot, branch",Does the plant produce roots above the surface of the ground?,"If possible, examine several plants for aerial roots.",,,TEXT
woody-angiosperms,anther_color_wa,Anther color,flowers,What is the color of the anthers?,The anther is the pollen-bearing structure of the flower. The pigmentation may be quite obvious or just a subtle tinge.,,,TEXT
woody-angiosperms,apex_of_leaf_lobes_teeth_Quercus_wa,Leaf lobe tips (Quercus),leaves,Do the lobes of the leaf blade have bristles at their tips?,"This question applies to oaks (Quercus). Oak leaves can be pretty variable, so look at several leaves if possible.",,,TEXT
woody-angiosperms,armature_wa,armature on plant,"stem, shoot, branch","Is the plant armed with spines, prickles, or thorns?","Spines, prickles, or thorns are usually produced on the main stem or branches, but sometimes also on the leaf margin or midrib.",,,TEXT
woody-angiosperms,berry_color_wa,Berry color,fruits or seeds,"If the plant makes berries, what color are they?","Berries are fleshy fruits with two or more seeds inside. Be sure to look at ripe berries, unripe ones are often green or yellow.",,,TEXT
woody-angiosperms,bloom_on_abaxial_leaf_blade_surface_wa,Leaf blade bloom,leaves,Is there a white powdery or waxy coating (bloom) on the underside of the leaf that can be rubbed away?,"Rub the underside of the leaf with a finger. Make sure you are not looking at hairs, which may also give the leaf a whitish look.",,,TEXT
woody-angiosperms,branch_brittleness_Salix_wa,Branch brittleness (willows only),"stem, shoot, branch",How brittle is a typical branch of the tree (willows only)?,"This question applies to the willows (Salix species). Try breaking a medium-sized branch. If the branch is brittle it will break with an audible snap, while flexible branches will crack part way through and then tear lengthwise.",,,TEXT
woody-angiosperms,branch_cross-section_wa,Branch cross-section,"stem, shoot, branch","What is the shape, in cross-section, of a branch?","Cut across the branch, or hold it with the tip pointing toward you, to determine the shape.",,,TEXT
woody-angiosperms,branchlet_bloom_wa,Twig bloom,"stem, shoot, branch",Is there a white powdery or waxy coating on the twigs that can be rubbed away?,"Twigs are the most recent growth on a woody plant. Rub the twig with your thumb. Be sure you are not looking at hairs, which may also give the stem a whitish look (easiest to see with a hand lens).",,,TEXT
woody-angiosperms,branchlet_indument_wa,Twig hairs,"stem, shoot, branch",What type of hairs are present on the twig?,Twigs are the most recent growth on a woody plant. Details of the hairs can be seen with a hand lens.,,,TEXT
woody-angiosperms,branchlet_papillae_Vaccinium_wa,Twig papillae (Vaccinium species only),"stem, shoot, branch",Do the twigs have papillae on them?,"This question applies to the blueberries (Vaccinium). Twigs are the most recent growth on a woody plant. Papillae are tiny rounded or cylindrical protuberances. They are light-colored, and may be sparse or dense.",,,TEXT
woody-angiosperms,branch_wings_wa,Wings on branch,"stem, shoot, branch","Does the branch have two or more narrow, ribbon-like edges (wings) running along it?","Wings are narrow, raised flanges of tissue that run along the branch. The wings can be quite variable. Cork-like ridges are also considered wings.",,,TEXT
