model,feature,feature_value,prompt_type,raw_response,parsed,expected,correct
openai/gpt-4o-mini,key_flower_type,4 Regular Parts,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,3 Regular Parts,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,4 Regular Parts,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,6 Regular Parts,existence,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,6 Regular Parts,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,4 Regular Parts,blind_mc,Cannot determine from this image.,INCONCLUSIVE,4 Regular Parts,False
openai/gpt-4o-mini,key_flower_type,5 Regular Parts,blind_mc,Cannot determine from this image.,INCONCLUSIVE,5 Regular Parts,False
openai/gpt-4o-mini,key_flower_type,5 Regular Parts,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,3 Regular Parts,blind_mc,1. **3 Regular Parts**,3 Regular Parts,3 Regular Parts,True
openai/gpt-4o-mini,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,6 Regular Parts,blind_mc,4. **6 Regular Parts**,6 Regular Parts,6 Regular Parts,True
openai/gpt-4o-mini,key_flower_type,Parts Indistinguishable,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,7 or More Regular Parts,blind_mc,5. **7 or More Regular Parts**,7 or More Regular Parts,7 or More Regular Parts,True
openai/gpt-4o-mini,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
openai/gpt-4o-mini,key_flower_type,Irregular Flowers,blind_mc,7. **Irregular Flowers**,Irregular Flowers,Irregular Flowers,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - Alternate Leaves,existence,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_flower_type,Parts Indistinguishable,blind_mc,6. **Parts Indistinguishable**,Parts Indistinguishable,Parts Indistinguishable,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - Alternate Leaves,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - Basal Leaves Only,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Wildflowers - Basal Leaves Only,existence,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Shrubs,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,True
openai/gpt-4o-mini,key_plant_type,Vines,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_plant_type,Vines,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Shrubs,agreement,YES,YES,YES,True
openai/gpt-4o-mini,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
openai/gpt-4o-mini,key_plant_type,Vines,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Vines,False
openai/gpt-4o-mini,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
openai/gpt-4o-mini,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
openai/gpt-4o-mini,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_leaf_type,Leaves Entire,agreement,NO,NO,YES,False
openai/gpt-4o-mini,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
openai/gpt-4o-mini,key_leaf_type,Leaves Toothed or Lobed,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
openai/gpt-4o-mini,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
openai/gpt-4o-mini,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
openai/gpt-4o-mini,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Toothed or Lobed,Leaves Toothed or Lobed,Leaves Toothed or Lobed,True
openai/gpt-4o-mini,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
openai/gpt-4o-mini,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
openai/gpt-5-mini,key_flower_type,3 Regular Parts,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,3 Regular Parts,blind_mc,None,INCONCLUSIVE,3 Regular Parts,False
openai/gpt-5-mini,key_flower_type,4 Regular Parts,existence,None,NO,YES,False
openai/gpt-5-mini,key_flower_type,3 Regular Parts,existence,None,NO,YES,False
openai/gpt-5-mini,key_flower_type,5 Regular Parts,existence,None,NO,YES,False
openai/gpt-5-mini,key_flower_type,4 Regular Parts,agreement,None,NO,YES,False
openai/gpt-5-mini,key_flower_type,5 Regular Parts,blind_mc,4 Regular Parts,4 Regular Parts,5 Regular Parts,False
openai/gpt-5-mini,key_flower_type,4 Regular Parts,blind_mc,None,INCONCLUSIVE,4 Regular Parts,False
openai/gpt-5-mini,key_flower_type,5 Regular Parts,agreement,None,NO,YES,False
openai/gpt-5-mini,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,6 Regular Parts,existence,None,NO,YES,False
openai/gpt-5-mini,key_flower_type,6 Regular Parts,blind_mc,6 Regular Parts,6 Regular Parts,6 Regular Parts,True
openai/gpt-5-mini,key_flower_type,Parts Indistinguishable,agreement,NO,NO,YES,False
openai/gpt-5-mini,key_flower_type,7 or More Regular Parts,blind_mc,7 or More Regular Parts,7 or More Regular Parts,7 or More Regular Parts,True
openai/gpt-5-mini,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,Parts Indistinguishable,blind_mc,None,INCONCLUSIVE,Parts Indistinguishable,False
openai/gpt-5-mini,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_flower_type,Irregular Flowers,blind_mc,Irregular Flowers,Irregular Flowers,Irregular Flowers,True
openai/gpt-5-mini,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
openai/gpt-5-mini,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_plant_type,Wildflowers - Alternate Leaves,existence,None,NO,YES,False
openai/gpt-5-mini,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
openai/gpt-5-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,None,NO,YES,False
openai/gpt-5-mini,key_plant_type,Wildflowers - No Apparent Leaves,existence,None,NO,YES,False
openai/gpt-5-mini,key_plant_type,Wildflowers - Basal Leaves Only,existence,None,NO,YES,False
openai/gpt-5-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,None,NO,YES,False
openai/gpt-5-mini,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
openai/gpt-5-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,None,INCONCLUSIVE,Wildflowers - Opposite or Whorled Leaves,False
openai/gpt-5-mini,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
